model,Cell Line Name,WNT2 Gene Effect (Chronos)
ACH-000017,SKBR3,0.095576924
ACH-000019,MCF7,-0.035009068
ACH-000028,KPL1,0.264725989
ACH-000097,ZR751,0.141865879
ACH-000111,HCC1187,0.093374332
ACH-000147,T47D,0.044688858
ACH-000148,HS578T,0.226875434
ACH-000212,CAL120,0.012420706
ACH-000223,HCC1937,-0.023384974
ACH-000248,AU565,0.181278027
ACH-000258,DU4475,-0.091693003
ACH-000276,HCC38,0.054744456
ACH-000277,HCC1419,0.026144934
ACH-000288,BT549,0.202551752
ACH-000330,EFM19,0.211454088
ACH-000352,HCC1428,0.117766248
ACH-000374,HCC1143,0.095671718
ACH-000554,UACC893,-0.065658506
ACH-000573,MDAMB436,0.172453703
ACH-000621,MDAMB157,0.09208632
ACH-000668,HCC70,0.090660912
ACH-000699,HCC1395,0.226954709
ACH-000711,JIMT1,0.071371078
ACH-000721,HMC18,0.04152679
ACH-000768,MDAMB231,0.049622902
ACH-000783,CAMA1,0.280730784
ACH-000849,MDAMB468,0.071150884
ACH-000856,CAL51,-0.053508722
ACH-000876,MDAMB415,0.19843959
ACH-000910,MDAMB453,0.193811534
ACH-000934,MDAMB361,-0.093314283
ACH-001065,EVSAT,0.125250433
ACH-001388,SUM102PT,0.152767987
ACH-001389,SUM1315MO2,0.027074492
ACH-001390,SUM149PT,0.327038809
ACH-001391,SUM159PT,0.053186109
ACH-001392,SUM185PE,0.132431671
ACH-001393,SUM190PT,-0.019894683
ACH-001394,SUM229PE,0.048973223
ACH-001396,SUM52PE,0.04178032
ACH-001419,VP229,0.048258474
ACH-001662,SNU2372,-0.069507259
ACH-001683,UACC3133,-0.007426873
ACH-001819,MFM223,-0.032235571
ACH-002179,OCUBM,-0.004169543
ACH-002399,21NT,0.063520988
ACH-002400,21MT1,-0.009885044
ACH-002401,21MT2,0.146794252
ACH-002499,UACC3199,-0.03051696
