"automated_textmining","BEND_MAP_ID","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.049","288","0.055","0.432","0.4","29.0","0.071","0","0.0","interacts with","TMED5 (interacts with) WNT8A","0","9606.ENSP00000359305","9606.ENSP00000426653","0.0","false","interacts with","TMED5 (interacts with) WNT8A"
"0.049","290","0.055","0.432","0.4","29.0","0.071","0","0.0","interacts with","TMED5 (interacts with) WNT5B","0","9606.ENSP00000359305","9606.ENSP00000380379","0.0","false","interacts with","TMED5 (interacts with) WNT5B"
"0.176","294","0.0","0.176","0.0","29.0","0.0","0","0.0","interacts with","TMED5 (interacts with) WLS","0","9606.ENSP00000359305","9606.ENSP00000346829","0.0","false","interacts with","TMED5 (interacts with) WLS"
"0.253","296","0.055","0.554","0.4","29.0","0.071","0","0.0","interacts with","TMED5 (interacts with) WNT7B","0","9606.ENSP00000359305","9606.ENSP00000341032","0.0","false","interacts with","TMED5 (interacts with) WNT7B"
"0.111","298","0.055","0.469","0.4","29.0","0.071","0","0.0","interacts with","TMED5 (interacts with) WNT8B","0","9606.ENSP00000359305","9606.ENSP00000340677","0.0","false","interacts with","TMED5 (interacts with) WNT8B"
"0.051","300","0.063","0.438","0.4","29.0","0.071","0","0.0","interacts with","TMED5 (interacts with) WNT11","0","9606.ENSP00000359305","9606.ENSP00000325526","0.0","false","interacts with","TMED5 (interacts with) WNT11"
"0.063","302","0.055","0.438","0.4","29.0","0.068","0","0.0","interacts with","TMED5 (interacts with) WNT10B","0","9606.ENSP00000359305","9606.ENSP00000301061","0.0","false","interacts with","TMED5 (interacts with) WNT10B"
"0.0","304","0.055","0.425","0.4","29.0","0.068","0","0.0","interacts with","TMED5 (interacts with) WNT9B","0","9606.ENSP00000359305","9606.ENSP00000290015","0.0","false","interacts with","TMED5 (interacts with) WNT9B"
"0.049","306","0.055","0.432","0.4","29.0","0.071","0","0.0","interacts with","TMED5 (interacts with) WNT7A","0","9606.ENSP00000359305","9606.ENSP00000285018","0.0","false","interacts with","TMED5 (interacts with) WNT7A"
"0.0","308","0.055","0.425","0.4","29.0","0.068","0","0.0","interacts with","TMED5 (interacts with) WNT9A","0","9606.ENSP00000359305","9606.ENSP00000272164","0.0","false","interacts with","TMED5 (interacts with) WNT9A"
"0.086","310","0.055","0.454","0.4","29.0","0.071","0","0.0","interacts with","TMED5 (interacts with) WNT2","0","9606.ENSP00000359305","9606.ENSP00000265441","0.0","false","interacts with","TMED5 (interacts with) WNT2"
"0.075","312","0.055","0.445","0.4","29.0","0.068","0","0.0","interacts with","TMED5 (interacts with) WNT10A","0","9606.ENSP00000359305","9606.ENSP00000258411","0.0","false","interacts with","TMED5 (interacts with) WNT10A"
"0.049","314","0.086","0.45","0.4","29.0","0.071","0","0.0","interacts with","TMED5 (interacts with) WNT6","0","9606.ENSP00000359305","9606.ENSP00000233948","0.0","false","interacts with","TMED5 (interacts with) WNT6"
"0.066","316","0.055","0.442","0.4","29.0","0.071","0","0.0","interacts with","TMED5 (interacts with) WNT3","0","9606.ENSP00000359305","9606.ENSP00000225512","0.0","false","interacts with","TMED5 (interacts with) WNT3"
"0.049","318","0.055","0.432","0.4","29.0","0.071","0","0.0","interacts with","TMED5 (interacts with) WNT16","0","9606.ENSP00000359305","9606.ENSP00000222462","0.0","false","interacts with","TMED5 (interacts with) WNT16"
"0.156","320","0.0","0.155","0.0","100.4444444444444","0.0","0","0.0","interacts with","LRP5L (interacts with) RYK","0","9606.ENSP00000482378","9606.ENSP00000478721","0.0","false","interacts with","LRP5L (interacts with) RYK"
"0.118","322","0.055","0.179","0.0","31.99999999999999","0.095","0","0.0","interacts with","LRP5L (interacts with) WNT8A","0","9606.ENSP00000482378","9606.ENSP00000426653","0.0","false","interacts with","LRP5L (interacts with) WNT8A"
"0.114","324","0.067","0.153","0.0","100.4444444444444","0.057","0","0.0","interacts with","LRP5L (interacts with) ROR2","0","9606.ENSP00000482378","9606.ENSP00000364860","0.0","false","interacts with","LRP5L (interacts with) ROR2"
"0.115","326","0.067","0.169","0.0","110.9652777777778","0.075","0","0.0","interacts with","LRP5L (interacts with) MUSK","0","9606.ENSP00000482378","9606.ENSP00000363571","0.0","false","interacts with","LRP5L (interacts with) MUSK"
