AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,degree.layout,diffusion_input,diffusion_output_heat,diffusion_output_rank,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,NumberOfUndirectedEdges,Outdegree,Radiality,selected,shared name,Stress,TopologicalCoefficient
1,0,1,0.5,16,16,0,0.013548483,52,1,16,0,FALSE,TMED5,50.875,16,16,0.986686391,FALSE,TMED5,0,0.978365385
1.533333333,4.48E-04,0.652173913,0.494071146,23,23,0,0.015633125,51,2,23,9,FALSE,LRP5L,49.65217391,23,14,0.989275148,FALSE,LRP5L,19,0.954849498
1.193548387,0,0.837837838,0.494652406,34,34,0,0.017494797,48,2,34,9,FALSE,GPC3,49.64705882,34,25,0.993343195,FALSE,GPC3,0,0.954751131
1.115384615,0.030836266,0.896551724,0.479487179,40,40,0,0.017851348,47,2,40,17,FALSE,MUSK,48.7,40,23,0.99556213,FALSE,MUSK,336,0.936538462
1.326530612,0,0.753846154,0.498106061,33,33,0,0.017393056,49,2,33,0,FALSE,CER1,49.75757576,33,33,0.992973373,FALSE,CER1,0,0.956876457
1,0.022521119,1,0.466530612,50,50,0,0.018988889,26,1,50,7,FALSE,FRZB,47.54,50,43,0.999260355,FALSE,FRZB,493,0.914230769
1,0.004441093,1,0.454117647,51,51,0,0.018852303,42,1,51,38,FALSE,WNT10B,46.90196078,51,13,0.999630178,FALSE,WNT10B,112,0.901960784
1,0.010549598,1,0.482269504,48,48,0,0.019152522,5,1,48,29,FALSE,SFRP4,48.375,48,19,0.99852071,FALSE,SFRP4,146,0.930288462
1,0.00979545,1,0.480053191,48,48,0,0.019142238,6,1,48,28,FALSE,SFRP2,48.25,48,20,0.99852071,FALSE,SFRP2,147,0.927884615
1,0.002681414,1,0.454117647,51,51,0,0.018852303,41,1,51,42,FALSE,WNT2B,46.90196078,51,9,0.999630178,FALSE,WNT2B,84,0.901960784
1,0.001110273,1,0.476615646,49,49,0,0.019090209,11,1,49,33,FALSE,WIF1,48.06122449,49,16,0.998890533,FALSE,WIF1,39,0.924254317
1,0.004441093,1,0.454117647,51,51,0,0.018852303,40,1,51,39,FALSE,WNT11,46.90196078,51,12,0.999630178,FALSE,WNT11,112,0.901960784
1,0,1,0.463673469,50,50,0,0.018948036,30,1,50,43,FALSE,WNT5B,47.4,50,7,0.999260355,FALSE,WNT5B,0,0.911538462
1,0,1,0.463673469,50,50,0,0.018948036,29,1,50,36,FALSE,WNT10A,47.4,50,14,0.999260355,FALSE,WNT10A,0,0.911538462
1.042553191,0.020451701,0.959183673,0.474734043,48,48,0,0.019098029,10,2,48,3,FALSE,DKK2,48.02083333,48,45,0.99852071,FALSE,DKK2,353,0.923477564
1.076923077,0,0.928571429,0.493128964,44,44,0,0.019294617,1,2,44,20,FALSE,NKD2,49.09090909,44,24,0.99704142,FALSE,NKD2,0,0.944055944
1,0.001508296,1,0.454117647,51,51,0,0.018852303,39,1,51,49,FALSE,WNT8B,46.90196078,51,2,0.999630178,FALSE,WNT8B,56,0.901960784
