node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADGRA2	SFRP1	9606.ENSP00000406367	9606.ENSP00000220772	0	0	0	0	0.062	0	0	0.147	0.165
ADGRA2	WNT3	9606.ENSP00000406367	9606.ENSP00000225512	0	0	0	0	0	0	0.72	0.167	0.756
ADGRA2	FZD3	9606.ENSP00000406367	9606.ENSP00000240093	0	0	0	0	0	0	0	0.171	0.171
ADGRA2	LRP6	9606.ENSP00000406367	9606.ENSP00000261349	0	0	0	0	0	0.042	0.72	0.333	0.805
ADGRA2	WNT2	9606.ENSP00000406367	9606.ENSP00000265441	0	0	0	0	0.082	0	0.54	0.15	0.609
ADGRA2	NKD1	9606.ENSP00000406367	9606.ENSP00000268459	0	0	0	0	0.042	0	0	0.219	0.219
ADGRA2	WNT9A	9606.ENSP00000406367	9606.ENSP00000272164	0	0	0	0	0	0	0	0.167	0.167
ADGRA2	WNT7A	9606.ENSP00000406367	9606.ENSP00000285018	0	0	0	0	0	0	0	0.747	0.747
ADGRA2	FZD7	9606.ENSP00000406367	9606.ENSP00000286201	0	0	0	0	0.062	0	0	0.227	0.244
ADGRA2	FZD1	9606.ENSP00000406367	9606.ENSP00000287934	0	0	0	0	0.097	0	0.54	0.256	0.664
ADGRA2	WNT9B	9606.ENSP00000406367	9606.ENSP00000290015	0	0	0	0	0	0	0	0.17	0.17
ADGRA2	LRP5	9606.ENSP00000406367	9606.ENSP00000294304	0	0	0	0	0.057	0.042	0.72	0.682	0.908
ADGRA2	DVL3	9606.ENSP00000406367	9606.ENSP00000316054	0	0	0	0	0.045	0.05	0	0.151	0.162
ADGRA2	FZD2	9606.ENSP00000406367	9606.ENSP00000323901	0	0	0	0	0.127	0	0	0.199	0.271
ADGRA2	WNT7B	9606.ENSP00000406367	9606.ENSP00000341032	0	0	0	0	0	0	0	0.683	0.683
ADGRA2	FZD9	9606.ENSP00000406367	9606.ENSP00000345785	0	0	0	0	0.058	0	0	0.188	0.203
ADGRA2	FZD6	9606.ENSP00000406367	9606.ENSP00000351605	0	0	0	0	0.042	0	0	0.295	0.295
ADGRA2	FZD5	9606.ENSP00000406367	9606.ENSP00000354607	0	0	0	0	0.067	0	0	0.215	0.236
ADGRA2	VANGL2	9606.ENSP00000406367	9606.ENSP00000357040	0	0	0	0	0.06	0.071	0	0.182	0.223
ADGRA2	DKK1	9606.ENSP00000406367	9606.ENSP00000363081	0	0	0	0	0	0	0	0.202	0.202
ADGRA2	FZD8	9606.ENSP00000406367	9606.ENSP00000363826	0	0	0	0	0.067	0	0	0.235	0.256
ADGRA2	ROR2	9606.ENSP00000406367	9606.ENSP00000364860	0	0	0	0	0.084	0.1	0	0.092	0.186
ADGRA2	DVL1	9606.ENSP00000406367	9606.ENSP00000368166	0	0	0	0	0	0.05	0.36	0.27	0.517
ADGRA2	RYK	9606.ENSP00000406367	9606.ENSP00000478721	0	0	0	0	0.059	0.184	0	0.183	0.319
ADGRA2	FZD4	9606.ENSP00000406367	9606.ENSP00000434034	0	0	0	0	0.116	0	0	0.785	0.802
CCN4	SFRP1	9606.ENSP00000250160	9606.ENSP00000220772	0	0	0	0	0.072	0	0	0.442	0.46
CCN4	DKK4	9606.ENSP00000250160	9606.ENSP00000220812	0	0	0	0	0.048	0	0	0.246	0.252
CCN4	WNT16	9606.ENSP00000250160	9606.ENSP00000222462	0	0	0	0	0	0	0	0.41	0.41
CCN4	WNT3	9606.ENSP00000250160	9606.ENSP00000225512	0	0	0	0	0	0	0	0.323	0.323
CCN4	FZD10	9606.ENSP00000250160	9606.ENSP00000229030	0	0	0	0	0.056	0	0	0.16	0.173
CCN4	WNT6	9606.ENSP00000250160	9606.ENSP00000233948	0	0	0	0	0	0	0	0.398	0.398
CCN4	FZD3	9606.ENSP00000250160	9606.ENSP00000240093	0	0	0	0	0	0	0	0.276	0.276
CCN4	NOTUM	9606.ENSP00000250160	9606.ENSP00000387310	0	0	0	0	0	0	0	0.162	0.161
CCN4	WLS	9606.ENSP00000250160	9606.ENSP00000346829	0	0	0	0	0.072	0	0	0.15	0.177
CCN4	DVL3	9606.ENSP00000250160	9606.ENSP00000316054	0	0	0	0	0	0	0	0.181	0.181
CCN4	VANGL2	9606.ENSP00000250160	9606.ENSP00000357040	0	0	0	0	0	0	0	0.197	0.197
CCN4	PORCN	9606.ENSP00000250160	9606.ENSP00000322304	0	0	0	0	0.087	0	0	0.174	0.214
CCN4	WNT9B	9606.ENSP00000250160	9606.ENSP00000290015	0	0	0	0	0.092	0	0	0.194	0.236
CCN4	NKD1	9606.ENSP00000250160	9606.ENSP00000268459	0	0	0	0	0	0	0	0.242	0.242
CCN4	ROR2	9606.ENSP00000250160	9606.ENSP00000364860	0	0	0	0	0.181	0	0	0.122	0.25
CCN4	FZD7	9606.ENSP00000250160	9606.ENSP00000286201	0	0	0	0	0.044	0	0	0.271	0.273
CCN4	SFRP5	9606.ENSP00000250160	9606.ENSP00000266066	0	0	0	0	0	0	0	0.273	0.273
CCN4	WNT8A	9606.ENSP00000250160	9606.ENSP00000426653	0	0	0	0	0	0	0	0.275	0.275
CCN4	FZD5	9606.ENSP00000250160	9606.ENSP00000354607	0	0	0	0	0	0	0	0.285	0.284
CCN4	WNT8B	9606.ENSP00000250160	9606.ENSP00000340677	0	0	0	0	0	0	0	0.284	0.284
CCN4	WNT7A	9606.ENSP00000250160	9606.ENSP00000285018	0	0	0	0	0	0	0	0.297	0.297
CCN4	NKD2	9606.ENSP00000250160	9606.ENSP00000296849	0	0	0	0	0.049	0	0	0.298	0.303
CCN4	DKK2	9606.ENSP00000250160	9606.ENSP00000285311	0	0	0	0	0.09	0	0	0.272	0.309
CCN4	FZD8	9606.ENSP00000250160	9606.ENSP00000363826	0	0	0	0	0.059	0	0	0.3	0.313
CCN4	FZD4	9606.ENSP00000250160	9606.ENSP00000434034	0	0	0	0	0.061	0	0	0.304	0.319
CCN4	FZD2	9606.ENSP00000250160	9606.ENSP00000323901	0	0	0	0	0.042	0	0	0.323	0.323
CCN4	WNT10A	9606.ENSP00000250160	9606.ENSP00000258411	0	0	0	0	0	0	0	0.337	0.337
CCN4	FZD6	9606.ENSP00000250160	9606.ENSP00000351605	0	0	0	0	0.069	0	0	0.325	0.346
CCN4	DVL1	9606.ENSP00000250160	9606.ENSP00000368166	0	0	0	0	0	0	0	0.348	0.347
CCN4	FZD9	9606.ENSP00000250160	9606.ENSP00000345785	0	0	0	0	0	0	0	0.348	0.347
CCN4	WNT9A	9606.ENSP00000250160	9606.ENSP00000272164	0	0	0	0	0.092	0	0	0.311	0.348
CCN4	WNT5B	9606.ENSP00000250160	9606.ENSP00000380379	0	0	0	0	0.072	0	0	0.341	0.363
CCN4	WNT7B	9606.ENSP00000250160	9606.ENSP00000341032	0	0	0	0	0	0	0	0.377	0.377
CCN4	FZD1	9606.ENSP00000250160	9606.ENSP00000287934	0	0	0	0	0.074	0	0	0.371	0.392
CCN4	WNT11	9606.ENSP00000250160	9606.ENSP00000325526	0	0	0	0	0	0	0	0.403	0.403
CCN4	WIF1	9606.ENSP00000250160	9606.ENSP00000286574	0	0	0	0	0	0	0	0.417	0.417
CCN4	WNT2B	9606.ENSP00000250160	9606.ENSP00000358698	0	0	0	0	0.058	0	0	0.411	0.421
CCN4	LRP6	9606.ENSP00000250160	9606.ENSP00000261349	0	0	0	0	0	0	0	0.421	0.421
CCN4	SFRP2	9606.ENSP00000250160	9606.ENSP00000274063	0	0	0	0	0.097	0	0	0.385	0.421
CCN4	SFRP4	9606.ENSP00000250160	9606.ENSP00000410715	0	0	0	0	0.214	0	0	0.323	0.445
CCN4	WNT10B	9606.ENSP00000250160	9606.ENSP00000301061	0	0	0	0	0	0	0	0.46	0.46
CCN4	LRP5	9606.ENSP00000250160	9606.ENSP00000294304	0	0	0	0	0	0	0	0.462	0.462
CCN4	RYK	9606.ENSP00000250160	9606.ENSP00000478721	0	0	0	0	0	0	0	0.477	0.477
CCN4	FRZB	9606.ENSP00000250160	9606.ENSP00000295113	0	0	0	0	0.07	0	0	0.491	0.506
CCN4	WNT2	9606.ENSP00000250160	9606.ENSP00000265441	0	0	0	0	0.195	0	0	0.412	0.507
CCN4	DKK1	9606.ENSP00000250160	9606.ENSP00000363081	0	0	0	0	0.047	0	0	0.52	0.523
CER1	SFRP1	9606.ENSP00000370297	9606.ENSP00000220772	0	0	0	0	0	0	0	0.243	0.243
CER1	DKK4	9606.ENSP00000370297	9606.ENSP00000220812	0	0	0	0	0.11	0	0	0.22	0.276
CER1	WNT16	9606.ENSP00000370297	9606.ENSP00000222462	0	0	0	0	0.055	0	0.9	0.055	0.902
CER1	WNT3	9606.ENSP00000370297	9606.ENSP00000225512	0	0	0	0	0.06	0	0.9	0.438	0.942
CER1	WNT6	9606.ENSP00000370297	9606.ENSP00000233948	0	0	0	0	0.055	0	0.9	0.117	0.909
CER1	WNT10A	9606.ENSP00000370297	9606.ENSP00000258411	0	0	0	0	0	0	0.9	0.055	0.901
CER1	LRP6	9606.ENSP00000370297	9606.ENSP00000261349	0	0	0	0	0	0	0	0.165	0.165
CER1	WNT2	9606.ENSP00000370297	9606.ENSP00000265441	0	0	0	0	0.055	0	0.9	0.137	0.911
CER1	NKD1	9606.ENSP00000370297	9606.ENSP00000268459	0	0	0	0	0.056	0	0	0.26	0.272
CER1	WNT9A	9606.ENSP00000370297	9606.ENSP00000272164	0	0	0	0	0	0	0.9	0.081	0.904
